country,home_score,count
Guernsey,2.759493670886076,158
Czechoslovakia,2.4923076923076923,195
Netherlands,2.456762749445677,451
Iraq,2.4270270270270293,185
Sweden,2.2938530734632687,667
Yugoslavia,2.276497695852533,217
Hungary,2.2525879917184257,483
Australia,2.2459016393442623,305
Iran,2.2322580645161274,310
Denmark,2.2274999999999996,400
Mexico,2.2222222222222205,414
Germany,2.2100161550888524,619
England,2.1574697173620456,743
Costa Rica,2.14965986394558,294
Spain,2.0896551724137935,580
Brazil,2.085664335664336,572
Belgium,2.0809523809523798,420

