year,name,values
2015,El Masnou,405706.1
2015,Premià de Mar,308899.9
2015,Vilassar de Mar,314226.8
2015,Maresme,387701.2
2015,Vegueria de Barcelona,336483.1
2015,Catalunya,354813.6
2016,El Masnou,412550.8
2016,Premià de Mar,311311.6
2016,Vilassar de Mar,335753.6
2016,Maresme,404626.8
2016,Vegueria de Barcelona,343903.5
2016,Catalunya,364969.1
2017,El Masnou,409556.9
2017,Premià de Mar,314197.3
2017,Vilassar de Mar,328620.8
2017,Maresme,409053.9
2017,Vegueria de Barcelona,351208.4
2017,Catalunya,371987.2
2018,El Masnou,416248.5
2018,Premià de Mar,354199.1
2018,Vilassar de Mar,341299.8
2018,Maresme,420937.9
2018,Vegueria de Barcelona,363472.5
2018,Catalunya,384956.4
2019,El Masnou,432654.9
2019,Premià de Mar,339966.1
2019,Vilassar de Mar,363673.4
2019,Maresme,433483.6
2019,Vegueria de Barcelona,373515.5
2019,Catalunya,396962.2
2020,El Masnou,448690.6
2020,Premià de Mar,335056.8
2020,Vilassar de Mar,360250.2
2020,Maresme,453495.7
2020,Vegueria de Barcelona,397655.5
2020,Catalunya,421324.8
2021,El Masnou,461181.1
2021,Premià de Mar,370832
2021,Vilassar de Mar,361953.7
2021,Maresme,465696.3
2021,Vegueria de Barcelona,413317
2021,Catalunya,432963.8
2022,El Masnou,476948.3
2022,Premià de Mar,397162.9
2022,Vilassar de Mar,402128.5
2022,Maresme,480508.8
2022,Vegueria de Barcelona,428461.6
2022,Catalunya,447378.2
2023,El Masnou,514353.4
2023,Premià de Mar,429926
2023,Vilassar de Mar,402357.6
2023,Maresme,489307.2
2023,Vegueria de Barcelona,444803.9
2023,Catalunya,464913.3
2024,El Masnou,545645.4
2024,Premià de Mar,458591.6
2024,Vilassar de Mar,423164.4
2024,Maresme,519665
2024,Vegueria de Barcelona,478411.3
2024,Catalunya,500154.6
