ANY,DESCRIPCIO,El Masnou,Premià de Mar,Vilassar de Mar,Maresme,Vegueria de Barcelona,Catalunya
2015,Despeses de personal,405706.1,308899.9,314226.8,387701.2,336483.1,354813.6
2016,Despeses de personal,412550.8,311311.6,335753.6,404626.8,343903.5,364969.1
2017,Despeses de personal,409556.9,314197.3,328620.8,409053.9,351208.4,371987.2
2018,Despeses de personal,416248.5,354199.1,341299.8,420937.9,363472.5,384956.4
2019,Despeses de personal,432654.9,339966.1,363673.4,433483.6,373515.5,396962.2
2020,Despeses de personal,448690.6,335056.8,360250.2,453495.7,397655.5,421324.8
2021,Despeses de personal,461181.1,370832,361953.7,465696.3,413317,432963.8
2022,Despeses de personal,476948.3,397162.9,402128.5,480508.8,428461.6,447378.2
2023,Despeses de personal,514353.4,429926,402357.6,489307.2,444803.9,464913.3
2024,Despeses de personal,545645.4,458591.6,423164.4,519665,478411.3,500154.6
