Year,home_score,count
2024,1.4900662251655628,302
2023,1.6751527494908356,982
2022,1.503791982665221,923
2021,1.6504587155963295,1090
2020,1.4293948126801157,347
2019,1.7233661593554135,1117
2018,1.5586652314316465,929
2017,1.5947995666305526,923
2016,1.667755991285403,918
2015,1.6011730205278605,1023
2014,1.5011848341232226,844
2013,1.5859538784067084,954
2012,1.6463536463536452,1001
2011,1.642468239564428,1102
2010,1.4869976359338068,846
2009,1.6183783783783812,925
2008,1.6455463728190995,1089
2007,1.6083844580777098,978
2006,1.6342042755344415,842
2005,1.6455223880597,804
2004,1.7460611677479136,1079
2003,1.8144989339019184,938
2002,1.540364583333334,768
2001,1.8709990300678958,1031
2000,1.8096153846153853,1040
1999,1.745098039215685,765
1998,1.6941489361702124,752
1997,1.7717750826901895,907
1996,1.7311827956989243,837
1995,1.7587253414264046,659
1994,1.6299342105263157,608
1993,1.7284595300261085,766
1992,1.601001669449081,599
1991,1.5639999999999992,500
1990,1.411392405063291,474
1989,1.4811165845648606,609
1988,1.257407407407407,540
1987,1.4823848238482367,369
1986,1.4219114219114222,429
1985,1.535836177474405,586
1984,1.5823970037453194,534
1983,1.5431034482758628,464
1982,1.5513126491646783,419
1981,1.6624999999999996,480
1980,1.618860510805501,509
1979,1.983870967741935,434
1978,1.5840000000000003,375
1977,1.7450549450549457,455
1976,1.7349999999999988,400
1975,1.8866498740554154,397
1974,1.719895287958115,382
1973,1.813163481953291,471
1972,1.8062200956937804,418
1971,2.0514705882352966,408
1970,1.6762177650429801,349
1969,2.12928759894459,379
1968,2.0228013029315948,307
1967,1.8699186991869918,369
1966,2.1104815864022664,353
1965,1.8525073746312697,339
1964,1.9479166666666674,192
1963,2.116197183098593,284
1962,2.2560975609756095,246
1961,2.0821917808219172,219
1960,2.560185185185186,216
1959,2.3155080213903734,187
1958,2.1968085106383,188
1957,2.2850678733031664,221
1956,2.005128205128205,195
1955,2.163398692810458,153
1954,2.3273809523809526,168
1953,2.1629213483146077,178
1952,2.2372881355932206,118
1951,2.6792452830188673,106
1950,2.5777777777777766,135
1949,2.4379084967320255,153
1948,2.148437500000001,128
1947,2.2624113475177308,141
1946,2.9255319148936167,94
1945,3.1874999999999996,64
1944,2.4333333333333336,30
1943,2.400000000000001,35
1942,2.68421052631579,57
1941,2.7115384615384617,52
1940,2.947368421052632,57
1939,2.3448275862068977,87
1938,2.485294117647059,136
1937,2.4049586776859506,121
1936,2.3999999999999995,85
1935,2.221153846153846,104
1934,2.5090909090909093,110
1933,2.3789473684210525,95
1932,2.247311827956989,93
1931,2.545454545454546,99
1930,2.5544554455445545,101
1929,2.8809523809523823,84
1928,2.7171717171717167,99
1927,2.5243902439024386,82
1926,2.7126436781609193,87
1925,1.8941176470588237,85
1924,2.372727272727272,110
1923,1.8586956521739129,92
1922,1.857142857142857,70
1921,1.8727272727272724,55
1920,1.8108108108108107,37
1919,2.470588235294118,34
1918,1.941176470588235,17
1917,2.4166666666666665,24
1916,2.310344827586207,29
1915,2.9375,16
1914,2.1818181818181817,33
1913,2.2972972972972974,37
1912,2.4523809523809534,42
1911,2.4705882352941178,34
1910,2.4137931034482762,29
1909,2.5,22
1908,2.285714285714286,28
1907,2.1333333333333333,15
1906,1.5625,16
1905,2.357142857142857,14
1904,1.7777777777777777,9
1903,2,10
1902,1.625,8
1901,3.8333333333333335,6
1900,2,6
1899,4.833333333333334,6
1898,1.3333333333333333,6
1897,3.666666666666667,6
1896,2.6666666666666665,6
1895,3.333333333333333,6
1894,2.5,6
1893,4.6,5
1892,1.6666666666666667,6
1891,4,6
1890,2.3333333333333335,6
1889,3.333333333333333,6
1888,3.9999999999999996,7
1887,3.5,6
1886,2.428571428571429,7
1885,2.428571428571429,7
1884,2,6
1883,3,5
1882,4.4,5
1881,0.6666666666666666,3
1880,4,3
1879,2.333333333333333,3
1878,8,2
1877,0.5,2
1876,3.5,2
1875,2,1
1874,2,1
1873,4,1
1872,0,1
